date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:00	28879/28879	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag.JPG?etag=%22323c5-5c582969%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=330,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag4841.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:01	2631/2631	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/59dd952644.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/59dd952644.png	(from https://stenungsundsbi.se/onewebstatic/c9df0990a7.css)
13:18:02	87785/87785	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0503.jpg?etag=%221a4f4-5c582992%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG05035084.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:02	140728/140728	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/PICT1634.JPG?etag=%224632c-5c5829c4%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT16348994.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:02	23955/23955	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0503.jpg?etag=%221a4f4-5c582992%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=372,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG0503635e.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:02	24050/24050	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/PICT1634.JPG?etag=%224632c-5c5829c4%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=330,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT1634fb5f.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:03	2694/2694	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/714ec98a03.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/714ec98a03.png	(from https://stenungsundsbi.se/onewebstatic/c9df0990a7.css)
13:18:04	35567/35567	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/tarta.jpg?etag=%228b85-5c582ff2%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/tarta0855.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:04	115449/115449	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/PICT28071.jpg?etag=%2226cc9-5c5829e7%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT280716820.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:04	907354/907354	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0712.jpg?etag=%22107ccc-5c582a12%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG0712df22.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:04	16935/16935	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/20190427_110410%5B1%5D.jpg?etag=%22557479-5ce1bc82%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=300%2B169&extract=0%2B0%2B300%2B168&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20190427_110410[1]7afb.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:18:05	2179/2179	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/f13b27a9c2.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/f13b27a9c2.png	(from https://stenungsundsbi.se/onewebstatic/c9df0990a7.css)
13:18:06	1643175/1643175	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202021.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202021.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:06	21031/21031	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/maskrosor.jpg?etag=W%2F%223e91c-5c5aed09%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=250%2B188&extract=0%2B0%2B250%2B184&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/maskrosora810.jpg	(from https://stenungsundsbi.se/about/)
13:18:06	9074/9074	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/Bibladet%202021.JPG?etag=%22a981-603ff5d5%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=146%2B206&extract=0%2B0%2B146%2B200&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/Bibladet%202021596d.jpg	(from https://stenungsundsbi.se/about/services.html)
13:18:06	1894076/1894076	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202018.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202018.pdf	(from https://stenungsundsbi.se/about/services.html)
